fips,county,state,score,signal_types,igsa,anc_contract,real_estate,commission,comms,budget,sheriff,jobs,legislative,legistar_client_guess
13097,"Douglas County, GA",GA,26,2,0,3,1,0,0,0,0,0,0,
48113,"Dallas County, TX",TX,26,2,0,3,1,0,0,0,0,0,0,
13121,"Fulton County, GA",GA,26,2,0,6,1,0,0,0,0,0,0,fulton
13057,"Cherokee County, GA",GA,24,1,0,4,0,0,0,0,0,0,0,
27003,"Anoka County, MN",MN,24,1,0,3,0,0,0,0,0,0,0,
08013,"Boulder County, CO",CO,24,1,0,3,0,0,0,0,0,0,0,
06111,"Ventura County, CA",CA,24,1,0,3,0,0,0,0,0,0,0,
53053,"Pierce County, WA",WA,24,1,0,3,0,0,0,0,0,0,0,
51107,"Loudoun County, VA",VA,24,1,0,6,0,0,0,0,0,0,0,
13053,"Chattahoochee County, GA",GA,24,1,0,6,0,0,0,0,0,0,0,
13263,"Talbot County, GA",GA,24,1,0,4,0,0,0,0,0,0,0,
42013,"Blair County, PA",PA,24,1,0,3,0,0,0,0,0,0,0,
13127,"Glynn County, GA",GA,24,1,0,6,0,0,0,0,0,0,0,
42017,"Bucks County, PA",PA,24,1,0,3,0,0,0,0,0,0,0,
